"N0_7muVerMo","SubjVertMo","QGVertMotion","CombVerMo","AreaMeso_ALS","SatContMoist","RaoContMoist","CombMoisture","AreaMoDryAir","VISCloudCov","IRCloudCover","CombClouds","CldShadeOth","AMInstabMt","InsInMt","WndHodograph","OutflowFrMt","MorningBound","Boundaries","CldShadeConv","CompPlFcst","CapChange","LoLevMoistAd","InsChange","MountainFcst","Date","Scenario","ScenRelAMCIN","MorningCIN","AMCINInScen","CapInScen","ScenRelAMIns","LIfr12ZDENSd","AMDewptCalPl","AMInsWliScen","InsSclInScen","ScenRel3_4","LatestCIN","LLIW","CurPropConv","ScnRelPlFcst","PlainsFcst","N34StarFcst","R5Fcst","Dewpoints","LowLLapse","MeanRH","MidLLapse","MvmtFeatures","RHRatio","SfcWndShfDis","SynForcng","TempDis","WindAloft","WindFieldMt","WindFieldPln"
"Down","Neutral","Down","Down","Down","Wet","Neutral","Wet","Dry","PC","PC","PC","Clear","Weak","Strong","Other","None","Strong","Weak","Some","LittleChange","LittleChange","WeakPos","Increasing","SIG","Aug20_Sep15","D","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","N5GtLIGt_8","Stability","LessUnstable","LessUnstable","D","PartInhibit","Weak","None","D","XNIL","XNIL","SIG","HighEvrywher","Steep","Average","CloseToDryAd","MarkedUpper","Other","DenvCyclone","NegToPos","Moving","NWQuad","Westerly","SEQuad"
"WeakUp","Down","WeakUp","WeakUp","WeakUp","VeryWet","VeryWet","VeryWet","VeryWet","Clear","PC","Clear","Clear","Strong","Strong","Other","Weak","Weak","Strong","Some","DecCapIncIns","Decreasing","WeakPos","Increasing","SIG","May15_Jun14","I","CThruK","PartInhibit","Average","LessThanAve","ABI","N1GtLIGt_4","Neutral","Average","Average","HI","None","Moderate","Strong","I","XNIL","XNIL","SIG","LowSHighN","ModerateOrLe","Average","CloseToDryAd","OtherRapid","DryMMoistL","E_W_S","PosToNeg","QStationary","NWQuad","Westerly","E_NE"
"StrongUp","Down","Neutral","Neutral","Neutral","Dry","VeryWet","Neutral","Wet","Clear","Cloudy","Clear","Clear","None","Strong","Westerly","Strong","Weak","Weak","Some","LittleChange","LittleChange","Negative","Increasing","XNIL","Jul2_Jul15","B","AB","Stifling","Average","Average","ABI","N5GtLIGt_8","Stability","MoreUnstable","MoreUnstable","B","PartInhibit","Weak","Slight","B","XNIL","XNIL","XNIL","HighEvrywher","Steep","Average","ModerateOrLe","OtherRapid","DryMMoistL","DenvCyclone","NegToPos","Moving","NWQuad","LVorOther","DenvCyclone"
"StrongUp","Neutral","WeakUp","WeakUp","WeakUp","Neutral","Wet","Neutral","Wet","PC","PC","PC","Cloudy","Strong","Strong","Other","None","None","None","None","DecCapIncIns","Decreasing","WeakPos","Increasing","SIG","May15_Jun14","B","AB","PartInhibit","Average","Average","ABI","N5GtLIGt_8","Stability","LessUnstable","MoreUnstable","B","PartInhibit","Weak","None","B","XNIL","XNIL","SIG","LowSHighN","Stable","VeryMoist","CloseToDryAd","NoMajor","Other","E_W_S","LittleChange","Moving","AllElse","LVorOther","DenvCyclone"
"Neutral","WeakUp","WeakUp","Neutral","Neutral","VeryWet","Neutral","Wet","VeryWet","Cloudy","PC","Cloudy","Cloudy","Weak","Weak","Other","None","None","None","None","IncCapDecIns","Increasing","Neutral","LittleChange","SIG","Jul16_Aug10","J","CThruK","PartInhibit","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Stability","Average","Average","GJ","None","Strong","Strong","J","SIG","SIG","SIG","LowAtStation","ModerateOrLe","Average","ModerateOrLe","NoMajor","DryMMoistL","DenvCyclone","NegToPos","None","LV","LVorOther","LV"
"StrongUp","WeakUp","Neutral","StrongUp","StrongUp","Neutral","VeryWet","Neutral","Wet","Cloudy","Clear","Cloudy","Cloudy","Strong","Strong","Westerly","Strong","Strong","Strong","Marked","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","Jul16_Aug10","J","CThruK","PartInhibit","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Stability","Average","Average","GJ","PartInhibit","Strong","Strong","J","XNIL","XNIL","XNIL","LowAtStation","ModerateOrLe","Average","ModerateOrLe","NoMajor","MoistMDryL","None","LittleChange","None","AllElse","LVorOther","SEQuad"
"WeakUp","Neutral","Neutral","WeakUp","WeakUp","Neutral","Wet","Neutral","Neutral","PC","PC","Cloudy","Cloudy","None","None","Westerly","None","Weak","Weak","None","IncCapDecIns","Increasing","Neutral","LittleChange","XNIL","Aug11_Aug20","D","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","Neutral","Average","MoreUnstable","D","None","Unfavorable","None","D","XNIL","XNIL","XNIL","LowAtStation","Steep","Average","CloseToDryAd","MarkedUpper","DryMMoistL","None","PosToNeg","None","NWQuad","Westerly","E_NE"
"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Clear","PC","Clear","Clear","Weak","Strong","Westerly","None","None","None","Marked","IncCapDecIns","Increasing","Neutral","Increasing","SVR","Jul16_Aug10","C","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Stability","Average","MoreUnstable","ACEFK","PartInhibit","Moderate","Strong","C","SIG","SIG","SVR","LowEvrywhere","Steep","Average","CloseToDryAd","OtherRapid","MoistMDryL","E_W_S","NegToPos","Other","AllElse","Westerly","WidespdDnsl"
"StrongUp","WeakUp","Neutral","Neutral","Neutral","Neutral","Dry","Neutral","VeryWet","PC","Clear","PC","PC","Weak","Weak","StrongWest","Weak","Strong","Weak","None","DecCapIncIns","Decreasing","WeakPos","Decreasing","SIG","Jul16_Aug10","F","CThruK","Stifling","MoreThanAve","Average","F","N1GtLIGt_4","Instability","Average","LessUnstable","ACEFK","PartInhibit","Strong","Strong","F","XNIL","XNIL","SIG","HighEvrywher","ModerateOrLe","VeryMoist","ModerateOrLe","NoMajor","Other","Other","LittleChange","Other","AllElse","LVorOther","SEQuad"
"Neutral","Neutral","Neutral","Neutral","Neutral","Dry","Wet","Dry","Neutral","Clear","PC","Clear","Clear","None","Weak","DCVZFavor","None","None","None","None","LittleChange","LittleChange","Negative","Decreasing","XNIL","Aug20_Sep15","K","CThruK","PartInhibit","Average","Average","K","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","ACEFK","Stifling","Strong","Slight","K","XNIL","XNIL","XNIL","LowAtStation","Steep","Average","CloseToDryAd","MarkedUpper","DryMMoistL","E_W_S","SigPositive","QStationary","AllElse","LVorOther","WidespdDnsl"
"WeakUp","Neutral","WeakUp","Neutral","Neutral","VeryWet","Neutral","Neutral","Wet","PC","Cloudy","Cloudy","Cloudy","Strong","Strong","Other","Weak","Weak","Strong","None","DecCapIncIns","Decreasing","Neutral","Decreasing","SIG","Jul16_Aug10","D","CThruK","None","Average","LessThanAve","CDEJ","N5GtLIGt_8","Neutral","Average","Average","D","PartInhibit","Unfavorable","None","D","XNIL","XNIL","SIG","LowSHighN","Steep","Dry","CloseToDryAd","OtherRapid","DryMMoistL","DryLine","PosToNeg","None","LV","Westerly","LongAnticyc"
"Neutral","Down","WeakUp","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","PC","Clear","PC","PC","None","None","DCVZFavor","None","Weak","Weak","None","LittleChange","LittleChange","WeakPos","Increasing","XNIL","Aug20_Sep15","J","CThruK","PartInhibit","Average","Average","CDEJ","N5GtLIGt_8","Stability","LessUnstable","LessUnstable","GJ","PartInhibit","Moderate","Moderate","J","SIG","SIG","SIG","LowEvrywhere","Steep","Average","Steep","NoMajor","DryMMoistL","DryLine","LittleChange","Other","LV","LVorOther","LV"
"StrongUp","Neutral","Down","Neutral","Neutral","Dry","VeryWet","Neutral","Neutral","Cloudy","Clear","Cloudy","PC","None","Weak","DCVZFavor","Weak","None","Weak","Some","IncCapDecIns","Increasing","Neutral","Decreasing","SIG","Jul2_Jul15","G","CThruK","PartInhibit","Average","Average","G","N1GtLIGt_4","Stability","Average","Average","GJ","Stifling","Moderate","Moderate","G","SIG","SIG","SIG","LowNHighS","CloseToDryAd","Dry","CloseToDryAd","NoMajor","Other","DryLine","LittleChange","None","AllElse","LVorOther","WidespdDnsl"
"StrongUp","WeakUp","WeakUp","StrongUp","StrongUp","Neutral","Neutral","Neutral","Wet","PC","PC","PC","Cloudy","Strong","Strong","Other","None","Weak","None","None","IncCapDecIns","Increasing","Negative","Decreasing","SIG","May15_Jun14","C","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","N5GtLIGt_8","Instability","MoreUnstable","Average","ACEFK","None","Unfavorable","None","C","XNIL","XNIL","SIG","LowAtStation","CloseToDryAd","Average","Steep","NoMajor","Other","E_W_N","SigPositive","None","NWQuad","Westerly","LongAnticyc"
"Down","WeakUp","Down","WeakUp","WeakUp","Neutral","Dry","Dry","Neutral","PC","PC","PC","Cloudy","None","None","DCVZFavor","None","Weak","Weak","None","LittleChange","LittleChange","Neutral","LittleChange","XNIL","May15_Jun14","B","AB","PartInhibit","LessThanAve","LessThanAve","ABI","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","B","PartInhibit","Weak","None","B","XNIL","XNIL","XNIL","Other","Stable","VeryMoist","CloseToDryAd","NoMajor","MoistMDryL","DenvCyclone","NegToPos","None","LV","LVorOther","E_NE"
"Down","Neutral","Neutral","Down","Down","Wet","Dry","Neutral","Neutral","Clear","PC","PC","PC","Strong","Strong","Other","Weak","None","Weak","None","IncCapDecIns","Increasing","Negative","Decreasing","XNIL","Aug20_Sep15","C","CThruK","Stifling","Average","Average","CDEJ","N1GtLIGt_4","Stability","MoreUnstable","MoreUnstable","ACEFK","None","Unfavorable","Moderate","C","XNIL","XNIL","XNIL","LowEvrywhere","Steep","Average","CloseToDryAd","OtherRapid","DryMMoistL","E_W_N","SigPositive","Other","LV","Westerly","LongAnticyc"
"WeakUp","Neutral","Neutral","Neutral","Neutral","Wet","Neutral","Neutral","Neutral","Clear","PC","PC","PC","Strong","Strong","DCVZFavor","Strong","Weak","Strong","Marked","IncCapDecIns","Increasing","Neutral","LittleChange","SIG","Jun15_Jul1","A","AB","PartInhibit","Average","MoreThanAve","ABI","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","ACEFK","None","Strong","Strong","A","SVR","SVR","SVR","LowAtStation","CloseToDryAd","Average","Steep","StrongFront","DryMMoistL","DenvCyclone","PosToNeg","None","SWQuad","LVorOther","DenvCyclone"
"Down","Neutral","Neutral","Neutral","Neutral","Wet","VeryWet","Wet","VeryWet","PC","PC","PC","PC","None","None","Westerly","None","Weak","Weak","None","LittleChange","LittleChange","WeakPos","Increasing","XNIL","Aug20_Sep15","A","AB","Stifling","Average","Average","ABI","LIGt0","Instability","Average","MoreUnstable","ACEFK","PartInhibit","Unfavorable","Slight","A","SVR","SIG","SIG","HighEvrywher","ModerateOrLe","Dry","Steep","MarkedUpper","Other","DenvCyclone","SigNegative","Other","SWQuad","Westerly","DenvCyclone"
"Down","Down","WeakUp","Down","Down","Wet","VeryWet","Wet","VeryWet","Clear","Clear","Clear","Clear","None","Weak","StrongWest","Weak","None","None","Some","LittleChange","LittleChange","Negative","Decreasing","XNIL","Jul16_Aug10","J","CThruK","PartInhibit","Average","Average","CDEJ","N1GtLIGt_4","Instability","Average","Average","GJ","PartInhibit","Weak","None","J","XNIL","XNIL","XNIL","LowMtsHighPl","CloseToDryAd","Average","Steep","NoMajor","MoistMDryL","DryLine","LittleChange","Other","LV","LVorOther","LV"
"Down","Down","Down","Down","Down","Neutral","Wet","Neutral","Neutral","Clear","Clear","Clear","Clear","Weak","Strong","Westerly","Weak","None","Weak","Marked","IncCapDecIns","Increasing","Negative","Decreasing","XNIL","Jul16_Aug10","C","CThruK","None","LessThanAve","LessThanAve","CDEJ","LIGt0","Instability","Average","Average","ACEFK","TotalInhibit","Strong","None","C","XNIL","XNIL","XNIL","LowNHighS","CloseToDryAd","Dry","Steep","NoMajor","MoistMDryL","DryLine","SigNegative","None","NWQuad","LVorOther","LV"
"WeakUp","Neutral","Neutral","Neutral","Neutral","Dry","Neutral","Neutral","Neutral","Clear","Clear","Clear","Clear","Strong","Strong","Other","None","Weak","Strong","Some","LittleChange","LittleChange","WeakPos","LittleChange","SVR","May15_Jun14","G","CThruK","Stifling","MoreThanAve","MoreThanAve","G","N1GtLIGt_4","Instability","LessUnstable","LessUnstable","GJ","Stifling","Weak","None","G","XNIL","XNIL","SVR","LowEvrywhere","CloseToDryAd","Average","CloseToDryAd","OtherRapid","Other","E_W_N","LittleChange","None","AllElse","Westerly","WidespdDnsl"
"Neutral","WeakUp","StrongUp","WeakUp","WeakUp","Wet","Neutral","Neutral","Neutral","PC","Clear","PC","PC","Weak","Strong","Other","Weak","Weak","Weak","Some","LittleChange","LittleChange","Negative","Decreasing","SIG","Jul16_Aug10","E","CThruK","PartInhibit","Average","Average","CDEJ","N1GtLIGt_4","Stability","Average","LessUnstable","ACEFK","PartInhibit","Weak","None","E","XNIL","XNIL","SIG","LowMtsHighPl","Steep","Dry","ModerateOrLe","StrongFront","MoistMDryL","DryLine","LittleChange","Other","SWQuad","Westerly","WidespdDnsl"
"StrongUp","Neutral","Neutral","WeakUp","WeakUp","Wet","Dry","Dry","Neutral","Clear","Clear","Clear","Clear","Strong","Strong","Other","None","None","None","Some","DecCapIncIns","Decreasing","Neutral","LittleChange","SVR","Aug20_Sep15","E","CThruK","PartInhibit","Average","LessThanAve","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","ACEFK","None","Weak","Strong","E","XNIL","XNIL","SVR","LowNHighS","CloseToDryAd","Average","ModerateOrLe","OtherRapid","MoistMDryL","DryLine","SigNegative","None","AllElse","Westerly","LongAnticyc"
"Down","WeakUp","Neutral","Down","Down","Neutral","Wet","Wet","Wet","PC","Clear","PC","Clear","Weak","Strong","StrongWest","Strong","Weak","Weak","Some","IncCapDecIns","Increasing","WeakPos","Increasing","SVR","Jun15_Jul1","I","CThruK","PartInhibit","Average","MoreThanAve","ABI","N1GtLIGt_4","Stability","LessUnstable","MoreUnstable","HI","PartInhibit","Weak","Slight","I","SIG","SIG","SVR","LowSHighN","ModerateOrLe","Dry","CloseToDryAd","NoMajor","DryMMoistL","E_W_N","SigNegative","QStationary","SWQuad","Westerly","E_NE"
"StrongUp","Neutral","Down","WeakUp","WeakUp","Wet","Neutral","Dry","Dry","Clear","PC","Cloudy","Cloudy","Weak","Weak","StrongWest","Weak","None","Weak","Some","LittleChange","LittleChange","WeakPos","Increasing","SIG","May15_Jun14","A","AB","PartInhibit","Average","Average","ABI","N5GtLIGt_8","Instability","MoreUnstable","MoreUnstable","ACEFK","None","Weak","Slight","A","SIG","SIG","SIG","HighEvrywher","Steep","VeryMoist","Steep","MarkedUpper","Other","E_W_S","LittleChange","Other","SWQuad","Westerly","DenvCyclone"
"Down","WeakUp","Neutral","Down","Down","Neutral","VeryWet","VeryWet","Neutral","PC","Clear","Clear","Clear","None","Weak","Other","Weak","None","None","None","LittleChange","LittleChange","Neutral","LittleChange","SIG","Jul2_Jul15","J","CThruK","PartInhibit","LessThanAve","LessThanAve","CDEJ","N1GtLIGt_4","Stability","LessUnstable","LessUnstable","GJ","PartInhibit","Moderate","Moderate","J","XNIL","XNIL","SIG","LowMtsHighPl","Steep","Average","ModerateOrLe","NoMajor","Other","DryLine","LittleChange","None","LV","LVorOther","SEQuad"
"Neutral","WeakUp","StrongUp","Neutral","Neutral","Dry","Neutral","Wet","Neutral","PC","PC","Clear","PC","None","None","StrongWest","None","None","None","None","DecCapIncIns","Decreasing","WeakPos","LittleChange","XNIL","Jul2_Jul15","I","CThruK","PartInhibit","LessThanAve","LessThanAve","ABI","N5GtLIGt_8","Neutral","MoreUnstable","MoreUnstable","HI","PartInhibit","Moderate","Moderate","I","SVR","SVR","SVR","LowSHighN","CloseToDryAd","Average","ModerateOrLe","StrongFront","DryMMoistL","MovingFtorOt","PosToNeg","QStationary","AllElse","Westerly","E_NE"
"StrongUp","Neutral","WeakUp","WeakUp","WeakUp","VeryWet","Neutral","Neutral","Neutral","PC","PC","PC","PC","Weak","Strong","Westerly","Strong","None","Weak","Some","LittleChange","LittleChange","StrongPos","Increasing","SIG","Jul2_Jul15","J","CThruK","PartInhibit","Average","Average","CDEJ","N1GtLIGt_4","Stability","LessUnstable","Average","GJ","PartInhibit","Moderate","None","J","XNIL","SIG","SIG","LowMtsHighPl","ModerateOrLe","Dry","ModerateOrLe","NoMajor","MoistMDryL","DryLine","LittleChange","None","LV","LVorOther","SEQuad"
"Neutral","Down","StrongUp","WeakUp","WeakUp","VeryWet","Wet","Wet","Wet","PC","Cloudy","Cloudy","PC","Strong","Strong","DCVZFavor","Strong","Weak","Strong","Some","DecCapIncIns","Decreasing","WeakPos","LittleChange","SIG","Aug11_Aug20","G","CThruK","PartInhibit","Average","LessThanAve","G","N1GtLIGt_4","Neutral","Average","Average","GJ","None","Moderate","Moderate","G","XNIL","XNIL","SIG","LowEvrywhere","CloseToDryAd","Dry","CloseToDryAd","NoMajor","MoistMDryL","DryLine","LittleChange","None","LV","Westerly","LV"
"Down","Neutral","Down","Down","Down","Dry","Wet","Wet","Dry","Clear","PC","Clear","Clear","Strong","Strong","Westerly","Weak","None","Strong","Marked","IncCapDecIns","Increasing","Neutral","Decreasing","SIG","Jul16_Aug10","E","CThruK","PartInhibit","Average","MoreThanAve","CDEJ","N1GtLIGt_4","Instability","Average","Average","ACEFK","None","Weak","Slight","E","SVR","SVR","SVR","LowNHighS","CloseToDryAd","Dry","ModerateOrLe","OtherRapid","MoistMDryL","None","LittleChange","None","AllElse","Westerly","LongAnticyc"
"Neutral","StronUp","WeakUp","WeakUp","WeakUp","Dry","Neutral","Neutral","Neutral","PC","Clear","Clear","Clear","Weak","Strong","DCVZFavor","Weak","Strong","Strong","Marked","LittleChange","LittleChange","Neutral","LittleChange","SVR","Jul2_Jul15","B","AB","None","LessThanAve","LessThanAve","ABI","N5GtLIGt_8","Stability","MoreUnstable","MoreUnstable","B","Stifling","Moderate","None","B","SIG","SIG","SVR","LowSHighN","Stable","VeryMoist","Steep","StrongFront","Other","DenvCyclone","LittleChange","Other","AllElse","Westerly","SEQuad"
"WeakUp","Neutral","Neutral","Neutral","Neutral","Dry","Neutral","Neutral","Neutral","Clear","Cloudy","Cloudy","Cloudy","Strong","Strong","StrongWest","Strong","None","Strong","Marked","IncCapDecIns","Increasing","Neutral","LittleChange","XNIL","May15_Jun14","I","CThruK","None","LessThanAve","MoreThanAve","ABI","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","HI","PartInhibit","Strong","Moderate","I","SIG","SIG","SIG","LowSHighN","CloseToDryAd","Dry","CloseToDryAd","NoMajor","DryMMoistL","E_W_S","SigPositive","QStationary","SWQuad","LVorOther","DenvCyclone"
"Down","Down","Neutral","Neutral","Neutral","Neutral","Dry","Dry","Neutral","Clear","Cloudy","Clear","Clear","Strong","Strong","DCVZFavor","Strong","Strong","Strong","Marked","LittleChange","LittleChange","StrongPos","Increasing","SIG","Aug20_Sep15","E","CThruK","PartInhibit","Average","Average","CDEJ","N5GtLIGt_8","Stability","LessUnstable","Average","ACEFK","PartInhibit","Moderate","Moderate","E","XNIL","XNIL","SIG","LowNHighS","Steep","Average","Steep","OtherRapid","MoistMDryL","None","NegToPos","None","SWQuad","Westerly","LV"
"StrongUp","Neutral","WeakUp","WeakUp","WeakUp","Neutral","VeryWet","VeryWet","VeryWet","PC","Cloudy","PC","Cloudy","None","Weak","DCVZFavor","None","None","None","Some","IncCapDecIns","Increasing","Neutral","LittleChange","XNIL","Jul16_Aug10","I","CThruK","PartInhibit","Average","Average","ABI","N5GtLIGt_8","Stability","Average","Average","HI","PartInhibit","Weak","None","I","XNIL","XNIL","XNIL","LowMtsHighPl","CloseToDryAd","VeryMoist","ModerateOrLe","NoMajor","Other","E_W_S","PosToNeg","Moving","AllElse","Westerly","E_NE"
"WeakUp","Neutral","Down","WeakUp","WeakUp","Wet","Neutral","Wet","VeryWet","Clear","PC","Clear","PC","None","None","StrongWest","None","Strong","None","None","LittleChange","LittleChange","Negative","Decreasing","XNIL","Jun15_Jul1","K","CThruK","PartInhibit","Average","Average","K","N5GtLIGt_8","Neutral","MoreUnstable","LessUnstable","ACEFK","PartInhibit","Unfavorable","Slight","K","XNIL","XNIL","XNIL","Other","Stable","Dry","ModerateOrLe","MarkedUpper","Other","E_W_N","PosToNeg","Other","AllElse","Westerly","WidespdDnsl"
"Down","Down","WeakUp","Down","Down","Dry","Neutral","Neutral","Neutral","PC","PC","Cloudy","PC","Weak","Strong","Other","Weak","Weak","None","None","LittleChange","LittleChange","Neutral","Decreasing","SIG","Jul16_Aug10","G","CThruK","PartInhibit","Average","Average","G","N1GtLIGt_4","Instability","LessUnstable","LessUnstable","GJ","PartInhibit","Moderate","None","G","SIG","SIG","SIG","LowAtStation","CloseToDryAd","Dry","CloseToDryAd","StrongFront","Other","None","PosToNeg","Moving","SWQuad","Westerly","WidespdDnsl"
"Neutral","Neutral","WeakUp","Neutral","Neutral","VeryWet","Neutral","Wet","Neutral","PC","PC","PC","PC","Weak","Weak","StrongWest","Strong","Strong","Strong","Some","DecCapIncIns","Decreasing","Negative","Decreasing","SIG","Jul16_Aug10","F","CThruK","PartInhibit","LessThanAve","LessThanAve","F","N1GtLIGt_4","Neutral","Average","LessUnstable","ACEFK","None","Moderate","Moderate","F","XNIL","XNIL","SIG","HighEvrywher","ModerateOrLe","VeryMoist","ModerateOrLe","NoMajor","Other","None","LittleChange","None","LV","LVorOther","E_NE"
"StrongUp","Neutral","WeakUp","WeakUp","WeakUp","Dry","Dry","Dry","Neutral","PC","Clear","Clear","PC","None","Weak","Other","None","Weak","Weak","None","DecCapIncIns","Decreasing","Negative","Decreasing","XNIL","May15_Jun14","K","CThruK","PartInhibit","Average","Average","K","N1GtLIGt_4","Neutral","LessUnstable","LessUnstable","ACEFK","PartInhibit","Weak","None","K","XNIL","XNIL","XNIL","Other","CloseToDryAd","Dry","ModerateOrLe","OtherRapid","DryMMoistL","Other","SigNegative","Moving","AllElse","Westerly","WidespdDnsl"
"StrongUp","Neutral","Neutral","WeakUp","WeakUp","Dry","VeryWet","Neutral","Neutral","Clear","PC","PC","PC","None","None","StrongWest","None","None","None","None","LittleChange","LittleChange","Negative","LittleChange","XNIL","Aug20_Sep15","I","CThruK","None","Average","Average","ABI","N1GtLIGt_4","Instability","Average","Average","HI","PartInhibit","Moderate","None","I","XNIL","XNIL","XNIL","LowSHighN","CloseToDryAd","Dry","CloseToDryAd","OtherRapid","MoistMDryL","E_W_S","PosToNeg","QStationary","AllElse","Westerly","E_NE"
"StrongUp","Neutral","Down","WeakUp","WeakUp","Neutral","Neutral","Neutral","Wet","PC","PC","PC","Cloudy","Weak","Strong","StrongWest","Strong","Weak","Weak","Marked","DecCapIncIns","Decreasing","WeakPos","Decreasing","XNIL","May15_Jun14","K","CThruK","PartInhibit","LessThanAve","LessThanAve","K","N5GtLIGt_8","Neutral","MoreUnstable","MoreUnstable","ACEFK","None","Unfavorable","None","K","SVR","SVR","SVR","Other","ModerateOrLe","Average","CloseToDryAd","StrongFront","Other","None","NegToPos","QStationary","AllElse","LVorOther","WidespdDnsl"
"Neutral","Neutral","Down","Neutral","Neutral","Neutral","Dry","Dry","Dry","PC","PC","PC","PC","None","None","Other","None","None","None","None","IncCapDecIns","Increasing","Negative","Decreasing","XNIL","Jun15_Jul1","B","AB","Stifling","Average","MoreThanAve","ABI","N5GtLIGt_8","Instability","MoreUnstable","Average","B","Stifling","Moderate","Slight","B","SVR","SVR","SVR","LowSHighN","Stable","Average","Steep","NoMajor","MoistMDryL","E_W_N","PosToNeg","Other","SWQuad","Westerly","SEQuad"
"Neutral","Neutral","WeakUp","Neutral","Neutral","Neutral","VeryWet","Neutral","Neutral","Clear","PC","Clear","Clear","Strong","Strong","Westerly","Strong","Weak","Strong","Marked","LittleChange","LittleChange","Negative","Decreasing","SVR","Jul16_Aug10","D","CThruK","Stifling","MoreThanAve","MoreThanAve","CDEJ","N1GtLIGt_4","Neutral","Average","LessUnstable","D","Stifling","Moderate","Slight","D","XNIL","XNIL","SVR","LowSHighN","Steep","Dry","Steep","StrongFront","MoistMDryL","DryLine","PosToNeg","Other","AllElse","Westerly","WidespdDnsl"
"StrongUp","Neutral","Down","Neutral","Neutral","Neutral","Neutral","Dry","Dry","PC","PC","PC","PC","Strong","Strong","Other","None","Weak","Weak","None","DecCapIncIns","Decreasing","Neutral","Decreasing","SIG","Jun15_Jul1","G","CThruK","Stifling","MoreThanAve","Average","G","N1GtLIGt_4","Instability","MoreUnstable","Average","GJ","None","Moderate","Strong","G","SVR","SVR","SVR","LowAtStation","Steep","Average","CloseToDryAd","NoMajor","Other","DryLine","PosToNeg","None","LV","LVorOther","SEQuad"
"Down","Neutral","Neutral","Down","Down","Neutral","Neutral","Dry","Dry","Clear","PC","PC","Clear","Strong","Strong","StrongWest","Strong","None","Strong","Some","LittleChange","LittleChange","Negative","Decreasing","SIG","Aug11_Aug20","G","CThruK","None","Average","Average","G","LILt_8","Neutral","MoreUnstable","Average","GJ","None","Moderate","Strong","G","SIG","SIG","SIG","LowAtStation","CloseToDryAd","Dry","CloseToDryAd","NoMajor","MoistMDryL","DryLine","PosToNeg","None","NWQuad","Westerly","LV"
"StrongUp","Neutral","Neutral","WeakUp","WeakUp","Neutral","VeryWet","VeryWet","VeryWet","Cloudy","Clear","Cloudy","Cloudy","Strong","Strong","Other","Weak","None","Weak","None","IncCapDecIns","Increasing","Negative","Decreasing","SIG","May15_Jun14","B","AB","PartInhibit","LessThanAve","MoreThanAve","ABI","N5GtLIGt_8","Neutral","Average","Average","B","PartInhibit","Weak","None","B","SVR","SVR","SVR","LowMtsHighPl","ModerateOrLe","Average","Steep","OtherRapid","Other","E_W_N","SigPositive","None","NWQuad","LVorOther","DenvCyclone"
"StrongUp","WeakUp","WeakUp","WeakUp","WeakUp","Neutral","Wet","Neutral","Neutral","Cloudy","PC","Cloudy","Cloudy","Weak","Strong","StrongWest","Strong","Strong","Strong","Marked","DecCapIncIns","Decreasing","Neutral","Decreasing","SIG","May15_Jun14","E","CThruK","PartInhibit","Average","LessThanAve","CDEJ","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","ACEFK","PartInhibit","Moderate","Slight","E","XNIL","XNIL","SIG","LowEvrywhere","Stable","Average","ModerateOrLe","NoMajor","Other","DryLine","LittleChange","None","AllElse","LVorOther","LV"
"Down","Neutral","Down","Down","Down","Dry","Wet","Dry","Dry","PC","Clear","Clear","Clear","None","Strong","Westerly","Strong","Weak","Strong","Some","LittleChange","LittleChange","WeakPos","Increasing","SIG","Jul16_Aug10","I","CThruK","Stifling","Average","LessThanAve","ABI","N1GtLIGt_4","Neutral","LessUnstable","Average","HI","PartInhibit","Weak","None","I","SIG","SIG","SIG","Other","Steep","Average","Steep","StrongFront","DryMMoistL","E_W_S","PosToNeg","QStationary","SWQuad","Westerly","E_NE"
"StrongUp","Neutral","WeakUp","Neutral","Neutral","Dry","Dry","Wet","Wet","Clear","Clear","Clear","Clear","Weak","Strong","Other","None","Weak","Weak","None","IncCapDecIns","Increasing","StrongPos","Increasing","SIG","Aug20_Sep15","I","CThruK","None","LessThanAve","Average","ABI","N1GtLIGt_4","Instability","MoreUnstable","MoreUnstable","HI","PartInhibit","Strong","Moderate","I","XNIL","XNIL","SIG","LowSHighN","Steep","Dry","ModerateOrLe","OtherRapid","Other","E_W_S","PosToNeg","QStationary","LV","Westerly","DenvCyclone"
